Time(s),Ax(g),Ay(g),Az(g),Gx(°/s),Gy(°/s),Gz(°/s)
5.523520,0.019,-0.173,0.957,-21.255,0.252,49.141
5.524511,0.001,-0.18,0.945,-20.874,0.122,47.188
5.525505,0.015,-0.205,0.955,-20.21,0.259,45.082
5.526464,0.027,-0.196,0.948,-20.34,0.381,43.556
5.527438,0.004,-0.19,0.948,-19.478,-0.023,41.664
5.528402,0.03,-0.203,0.961,-18.99,0.412,39.688
5.529388,0.021,-0.193,0.96,-18.578,0.153,37.277
5.567296,0.035,-0.182,0.961,-18.15,0.519,35.5
5.568297,0.041,-0.189,0.962,-17.899,0.481,34.05
5.569296,0.019,-0.178,0.958,-17.761,0.526,32.455
5.570257,0.037,-0.18,0.957,-17.41,0.885,30.617
5.571211,0.023,-0.175,0.959,-16.975,0.938,29.396
5.572176,0.034,-0.168,0.963,-16.876,0.755,28.137
5.573160,0.034,-0.169,0.956,-16.296,0.885,26.939
5.610919,0.023,-0.182,0.963,-15.938,1.144,26.108
5.611915,0.043,-0.178,0.956,-16.357,1.099,25.078
5.612878,0.042,-0.172,0.958,-15.594,0.954,24.109
5.613870,0.023,-0.18,0.96,-15.671,1.106,23.293
5.614828,0.031,-0.178,0.947,-15.427,1.228,22.522
5.615793,0.034,-0.18,0.943,-15.388,1.106,21.927
5.616760,0.034,-0.186,0.94,-15.244,1.106,21.225
5.654692,0.032,-0.199,0.943,-14.977,1.114,20.988
5.655695,0.021,-0.204,0.945,-15.221,0.999,20.47
5.656660,0.024,-0.218,0.95,-14.946,1.366,20.538
5.657658,0.032,-0.219,0.961,-14.603,1.472,20.081
5.658618,0.018,-0.227,0.944,-14.473,1.083,19.714
5.659586,0.026,-0.234,0.959,-14.061,1.328,18.974
5.660555,0.032,-0.243,0.954,-13.71,1.526,18.173
5.698702,0.031,-0.252,0.955,-13.321,1.503,17.067
5.699714,0.036,-0.253,0.952,-12.482,1.358,15.64
5.700677,0.034,-0.247,0.947,-12.039,1.427,13.68
5.701669,0.033,-0.242,0.947,-11.658,1.16,11.62
5.702617,0.039,-0.246,0.957,-11.024,1.343,9.407
5.703571,0.046,-0.25,0.955,-10.46,1.19,7.126
5.704517,0.054,-0.265,0.96,-9.666,1.114,4.341
5.742203,0.063,-0.266,0.961,-8.781,1.083,1.038
5.743188,0.069,-0.277,0.964,-7.5,1.282,-1.823
5.744142,0.065,-0.286,0.959,-6.561,1.503,-5.463
5.745120,0.066,-0.294,0.967,-5.783,1.602,-8.438
5.746084,0.056,-0.286,0.965,-4.478,1.892,-11.276
5.747039,0.047,-0.274,0.964,-3.693,1.862,-13.214
5.748015,0.031,-0.252,0.949,-3.456,1.877,-14.618
5.785344,0.023,-0.236,0.947,-3.082,1.801,-15.732
5.786345,0.008,-0.238,0.943,-3.082,2.007,-16.594
5.787313,0.0,-0.23,0.944,-2.769,1.961,-16.884
5.788271,0.005,-0.228,0.951,-2.129,1.991,-17.38
5.789260,-0.007,-0.221,0.945,-2.205,1.724,-17.029
5.790243,-0.002,-0.208,0.948,-2.052,1.64,-17.197
5.791198,0.001,-0.191,0.942,-1.991,1.808,-17.609
5.828289,-0.005,-0.186,0.945,-2.129,1.686,-17.593
5.829332,-0.001,-0.193,0.94,-2.144,1.709,-18.227
5.830310,-0.002,-0.199,0.942,-1.701,1.617,-18.41
5.831281,-0.0,-0.201,0.948,-1.488,1.32,-19.333
5.832243,0.004,-0.206,0.94,-1.335,0.931,-20.34
5.833224,0.005,-0.214,0.954,-1.35,0.778,-21.278
5.834194,0.02,-0.219,0.954,-0.435,1.152,-22.385
5.872205,0.033,-0.23,0.955,-0.008,1.16,-23.582
5.873218,0.031,-0.239,0.963,0.153,1.274,-24.605
5.874171,0.042,-0.245,0.954,0.572,1.762,-25.291
5.875117,0.017,-0.237,0.954,0.748,1.701,-26.321
5.876061,0.025,-0.217,0.953,1.183,1.923,-27.573
5.877012,0.012,-0.208,0.953,0.923,1.541,-28.221
5.877981,0.012,-0.204,0.96,1.022,1.823,-28.908
5.915998,0.019,-0.198,0.959,1.884,1.785,-30.182
5.917205,0.016,-0.183,0.956,1.953,1.648,-30.983
5.918164,0.03,-0.169,0.958,2.464,1.602,-32.677
5.919116,0.017,-0.166,0.958,2.563,1.831,-33.897
5.920065,0.018,-0.166,0.958,3.006,1.808,-34.943
5.921016,0.021,-0.169,0.945,2.602,1.785,-35.713
5.921975,0.012,-0.172,0.954,3.433,1.74,-36.903
5.959785,0.021,-0.169,0.955,3.54,1.907,-37.682
5.960765,0.017,-0.161,0.956,3.769,1.884,-38.62
5.961741,0.019,-0.164,0.962,3.731,2.037,-39.33
5.962692,0.02,-0.166,0.963,3.998,2.205,-40.337
5.963639,0.015,-0.157,0.964,4.036,2.068,-40.428
5.964592,0.019,-0.152,0.961,3.754,2.304,-41.199
5.965557,0.016,-0.154,0.958,3.746,2.373,-41.748
6.003710,0.017,-0.157,0.949,3.593,2.136,-42.32
6.004695,0.006,-0.16,0.954,3.738,2.357,-42.671
6.005670,0.014,-0.155,0.956,3.876,2.388,-43.053
6.006620,0.014,-0.139,0.948,3.952,2.281,-43.472
6.007563,0.019,-0.13,0.962,4.028,2.251,-43.938
6.008511,0.017,-0.129,0.958,4.257,2.419,-44.334
6.009471,0.009,-0.123,0.961,3.96,2.609,-44.739
6.047482,0.014,-0.114,0.957,4.089,2.533,-45.013
6.048464,0.018,-0.119,0.957,4.135,2.441,-45.38
6.049440,0.013,-0.122,0.953,3.502,2.373,-45.38
6.050385,0.014,-0.125,0.955,3.807,2.434,-45.555
6.051332,0.013,-0.137,0.95,3.624,2.571,-45.616
6.052279,0.007,-0.138,0.948,3.288,2.747,-44.93
6.053247,0.001,-0.137,0.95,3.426,2.579,-45.151
6.091177,0.004,-0.138,0.949,3.067,2.426,-44.35
6.092156,0.0,-0.132,0.949,3.204,2.106,-44.281
6.093135,0.001,-0.134,0.949,2.892,2.373,-43.777
6.094094,-0.005,-0.14,0.953,2.762,2.129,-43.144
6.095038,0.004,-0.136,0.955,2.823,2.136,-42.389
6.095987,0.011,-0.131,0.955,2.998,1.999,-42.03
6.096943,0.012,-0.126,0.962,2.64,1.9,-41.634
6.135301,0.011,-0.119,0.959,2.548,2.121,-41.061
6.136291,0.015,-0.12,0.952,2.274,1.709,-40.352
6.137278,0.017,-0.109,0.958,2.113,1.945,-39.612
6.138229,0.021,-0.112,0.952,1.724,1.671,-38.353
6.139180,0.021,-0.119,0.953,2.007,2.022,-37.621
6.140125,0.019,-0.118,0.951,1.244,1.976,-37.041
6.141096,0.022,-0.114,0.948,1.167,1.77,-35.957
6.179033,0.029,-0.124,0.955,0.984,1.953,-35.179
6.180019,0.03,-0.136,0.957,0.74,1.9,-34.279
6.180966,0.032,-0.134,0.96,0.42,1.595,-33.813
6.181946,0.035,-0.146,0.955,0.74,1.877,-32.951
6.182891,0.042,-0.144,0.957,0.42,1.762,-32.219
6.183834,0.043,-0.145,0.945,0.443,1.884,-31.616
6.184786,0.039,-0.149,0.954,0.351,1.678,-31.021
6.222819,0.038,-0.149,0.959,0.282,1.694,-30.563
6.223807,0.037,-0.136,0.955,0.343,1.556,-30.19
6.224751,0.053,-0.138,0.959,0.511,1.678,-29.984
6.225727,0.05,-0.125,0.959,0.206,1.762,-29.198
6.226678,0.041,-0.115,0.967,0.404,1.869,-28.557
6.227623,0.044,-0.113,0.96,0.282,1.732,-28.313
6.228570,0.036,-0.108,0.969,0.282,1.694,-27.657
6.266118,0.035,-0.087,0.963,0.122,1.602,-27.023
6.267113,0.03,-0.09,0.958,-0.16,1.778,-26.619
6.268071,0.027,-0.083,0.953,-0.412,1.785,-25.131
6.269033,0.026,-0.081,0.95,-0.992,1.602,-24.101
6.270016,0.023,-0.087,0.95,-1.457,1.762,-23.064
6.270976,0.011,-0.1,0.954,-1.366,1.709,-21.576
6.271940,0.019,-0.098,0.949,-2.014,1.472,-20.317
6.309524,0.012,-0.103,0.948,-2.121,1.846,-19.287
6.310532,0.012,-0.105,0.959,-2.815,1.64,-18.12
6.311499,0.014,-0.106,0.957,-2.373,1.442,-17.303
6.312460,0.021,-0.099,0.958,-2.594,1.48,-16.426
6.313445,0.023,-0.098,0.955,-2.991,1.358,-15.785
6.314409,0.022,-0.104,0.955,-2.899,1.526,-15.419
6.315377,0.032,-0.105,0.956,-2.975,1.228,-15.221
6.353122,0.031,-0.102,0.958,-3.098,1.526,-14.565
6.354130,0.031,-0.095,0.96,-3.166,1.556,-14.832
6.355093,0.025,-0.091,0.958,-3.197,1.587,-14.496
6.356056,0.023,-0.084,0.954,-3.517,1.419,-14.084
6.357013,0.027,-0.075,0.969,-3.632,1.366,-13.68
6.357986,0.022,-0.071,0.954,-3.883,1.534,-13.077
6.358954,0.02,-0.073,0.966,-4.333,1.373,-12.566
6.396692,0.016,-0.077,0.954,-4.303,1.556,-11.787
6.397720,0.017,-0.062,0.956,-4.578,1.419,-10.78
6.398688,0.019,-0.058,0.963,-4.646,1.259,-10.04
6.399633,0.011,-0.06,0.963,-5.127,1.549,-9.247
6.400580,0.017,-0.053,0.961,-5.684,1.19,-8.064
6.401541,0.022,-0.044,0.957,-5.646,1.312,-7.385
6.402502,0.02,-0.05,0.961,-6.05,1.335,-6.18
6.440506,0.03,-0.054,0.956,-6.874,1.396,-5.264
6.441523,0.023,-0.062,0.951,-6.653,1.389,-4.494
6.442474,0.029,-0.074,0.955,-6.882,1.205,-3.601
6.443422,0.024,-0.076,0.961,-7.034,1.396,-2.953
6.444369,0.025,-0.075,0.958,-7.591,1.266,-2.19
6.445328,0.027,-0.082,0.962,-7.385,1.457,-1.579
6.446285,0.029,-0.083,0.959,-7.713,1.35,-0.664
6.447244,0.036,-0.086,0.955,-8.286,1.19,-0.221
6.485606,0.036,-0.097,0.955,-7.965,1.411,0.404
6.486582,0.041,-0.096,0.964,-8.43,1.221,1.175
6.487521,0.041,-0.091,0.962,-8.606,1.022,1.74
6.488454,0.042,-0.095,0.953,-8.537,1.106,1.541
6.489400,0.044,-0.092,0.959,-8.53,1.144,1.93
6.490348,0.05,-0.091,0.955,-8.652,1.205,2.129
6.491297,0.051,-0.09,0.961,-8.453,1.122,2.235
6.529664,0.051,-0.094,0.964,-8.728,1.305,2.251
6.530640,0.049,-0.093,0.957,-8.713,1.106,2.365
6.531580,0.043,-0.1,0.958,-8.507,0.969,2.464
6.532512,0.043,-0.103,0.967,-8.972,1.297,2.617
6.533458,0.043,-0.109,0.957,-9.041,1.266,2.861
6.534396,0.035,-0.108,0.964,-9.186,1.152,3.281
6.535338,0.028,-0.105,0.957,-8.942,1.419,4.143
6.573606,0.026,-0.104,0.958,-9.254,1.259,4.555
6.574580,0.02,-0.105,0.954,-9.346,1.06,5.569
6.575517,0.016,-0.107,0.963,-9.392,1.022,6.256
6.576464,0.016,-0.109,0.962,-9.666,0.725,6.996
6.577431,0.021,-0.108,0.953,-10.033,0.854,7.713
6.578371,0.021,-0.108,0.956,-9.575,1.114,8.614
6.579328,0.02,-0.106,0.961,-10.17,0.999,9.262
6.618938,0.02,-0.104,0.958,-10.216,0.954,10.056
6.622846,0.027,-0.117,0.957,-10.056,0.961,10.91
6.626488,0.025,-0.111,0.958,-10.399,1.129,11.284
6.629954,0.023,-0.105,0.958,-10.597,0.87,12.207
6.633481,0.028,-0.11,0.951,-10.674,1.038,13.206
6.636923,0.026,-0.105,0.956,-10.788,0.839,14.229
6.640418,0.027,-0.099,0.955,-10.544,0.771,15.442
6.662496,0.025,-0.096,0.952,-11.169,0.908,16.663
6.666063,0.028,-0.09,0.954,-11.612,0.87,17.845
6.669525,0.025,-0.087,0.952,-11.795,0.717,19.325
6.672955,0.026,-0.082,0.955,-12.299,0.595,21.042
6.676404,0.027,-0.083,0.949,-12.787,0.793,22.568
6.679882,0.028,-0.086,0.95,-13.023,0.587,24.506
6.683403,0.031,-0.079,0.956,-13.474,0.526,26.123
6.705724,0.036,-0.075,0.954,-13.931,0.862,27.794
6.709208,0.03,-0.058,0.956,-14.259,0.786,29.48
6.712636,0.03,-0.058,0.966,-14.954,0.809,31.021
6.716156,0.018,-0.06,0.956,-15.419,0.58,33.096
6.719612,0.026,-0.06,0.953,-15.862,0.626,34.782
6.723077,0.018,-0.067,0.951,-16.342,0.771,36.255
6.726557,0.02,-0.073,0.944,-16.739,0.336,38.01
6.749447,0.023,-0.079,0.948,-17.326,0.366,39.848
6.752905,0.02,-0.078,0.942,-17.99,0.557,41.985
6.756368,0.024,-0.088,0.945,-18.715,0.862,43.968
6.759880,0.014,-0.092,0.948,-18.906,0.954,45.586
6.763339,0.017,-0.105,0.954,-19.463,0.656,47.462
6.766839,0.014,-0.102,0.952,-19.821,0.656,48.79
6.770318,0.012,-0.096,0.966,-19.722,0.435,49.644
6.793208,0.01,-0.096,0.96,-19.936,0.443,50.217
6.796654,0.015,-0.099,0.963,-20.149,0.298,51.231
6.800135,0.019,-0.1,0.951,-20.767,0.252,51.537
6.803602,0.025,-0.113,0.952,-21.088,0.427,51.872
6.807092,0.017,-0.126,0.947,-20.691,0.298,52.208
6.810557,0.013,-0.141,0.946,-21.072,0.481,52.704
6.814042,0.003,-0.156,0.946,-21.095,0.214,53.146
6.836269,-0.011,-0.164,0.952,-21.172,-0.008,53.802
6.839823,-0.008,-0.167,0.958,-21.454,0.267,53.833
6.843316,-0.016,-0.163,0.949,-21.378,0.16,54.169
6.846821,-0.017,-0.168,0.952,-21.423,0.053,54.527
6.850317,0.001,-0.161,0.958,-21.233,0.053,54.23
6.853885,-0.008,-0.155,0.952,-21.202,-0.099,54.031
6.857442,-0.003,-0.172,0.952,-20.866,0.008,53.627
6.879446,-0.008,-0.172,0.948,-20.805,-0.114,53.223
6.883056,-0.007,-0.165,0.945,-20.676,-0.366,52.673
6.886611,-0.003,-0.173,0.943,-20.264,-0.191,52.33
6.890161,-0.007,-0.176,0.948,-20.416,-0.275,51.346
6.893651,0.003,-0.18,0.946,-20.226,-0.29,50.888
6.897182,0.005,-0.181,0.954,-20.126,-0.336,50.209
6.900733,0.012,-0.171,0.958,-19.905,-0.107,49.622
6.923176,0.013,-0.173,0.963,-19.455,-0.412,48.721
6.926695,0.018,-0.178,0.959,-19.539,-0.175,47.417
6.930205,0.018,-0.166,0.971,-19.234,-0.481,46.707
6.933737,0.039,-0.156,0.961,-19.18,-0.183,45.265
6.937267,0.037,-0.158,0.958,-19.18,-0.389,44.067
6.940811,0.034,-0.157,0.961,-18.417,0.015,42.839
6.945096,0.054,-0.127,0.961,-18.356,-0.038,41.252
6.967100,0.038,-0.131,0.955,-18.066,0.343,40.131
6.970567,0.045,-0.135,0.959,-18.211,0.519,38.651
6.974022,0.042,-0.129,0.96,-18.021,0.504,37.048
6.977503,0.043,-0.147,0.956,-17.86,0.626,36.072
6.980943,0.044,-0.161,0.96,-17.67,0.58,34.332
6.984951,0.046,-0.16,0.964,-17.403,0.336,32.814
6.988451,0.041,-0.167,0.96,-17.159,0.542,31.471
7.010860,0.041,-0.16,0.952,-16.869,0.763,29.839
7.014315,0.039,-0.172,0.952,-16.838,0.732,28.618
7.017844,0.027,-0.185,0.952,-16.67,0.999,27.534
7.021611,0.034,-0.193,0.956,-16.037,1.06,26.497
7.025294,0.034,-0.204,0.964,-15.846,1.236,24.696
7.028739,0.035,-0.214,0.971,-15.152,0.999,23.094
7.032242,0.05,-0.228,0.968,-14.977,1.144,20.782
7.054771,0.048,-0.23,0.965,-14.061,1.358,18.227
7.058281,0.05,-0.231,0.966,-13.062,1.228,15.602
7.062125,0.053,-0.229,0.959,-12.032,1.465,13.123
7.065717,0.055,-0.229,0.966,-12.039,1.228,10.254
7.069191,0.073,-0.237,0.956,-11.063,1.32,7.423
7.072580,0.069,-0.245,0.956,-10.391,1.617,4.211
7.075967,0.075,-0.255,0.959,-9.445,1.701,1.266
7.098275,0.069,-0.264,0.968,-8.896,1.747,-1.549
7.102236,0.068,-0.264,0.97,-7.904,1.732,-4.295
7.105658,0.059,-0.263,0.969,-6.79,2.159,-7.172
7.109028,0.051,-0.26,0.962,-5.913,2.007,-9.964
7.112486,0.047,-0.259,0.964,-5.417,2.144,-12.253
7.116017,0.043,-0.249,0.953,-4.868,2.205,-14.404
7.119504,0.04,-0.237,0.948,-4.295,2.197,-15.778
7.141461,0.028,-0.218,0.952,-4.15,2.083,-16.426
7.144954,0.01,-0.21,0.947,-4.257,2.266,-17.22
7.148481,-0.002,-0.211,0.948,-3.853,2.029,-17.479
7.152018,-0.002,-0.208,0.946,-3.334,1.961,-17.357
7.155494,0.003,-0.214,0.955,-3.334,1.862,-17.159
7.158991,0.003,-0.22,0.95,-3.204,1.709,-17.197
7.161712,0.004,-0.224,0.952,-3.273,1.617,-16.594
7.182302,-0.006,-0.219,0.945,-3.159,1.572,-16.502
7.183298,0.003,-0.226,0.946,-2.731,1.61,-16.19
7.184282,-0.005,-0.234,0.947,-2.701,1.556,-16.014
7.185269,0.002,-0.233,0.946,-2.625,1.526,-15.823
7.186242,-0.002,-0.233,0.95,-2.35,1.404,-15.938
7.187209,0.009,-0.223,0.944,-2.121,1.221,-15.999
7.188177,0.014,-0.229,0.949,-1.862,1.228,-16.357
7.225928,0.022,-0.228,0.949,-1.602,0.908,-16.914
7.226926,0.026,-0.228,0.954,-1.106,1.228,-17.632
7.227893,0.021,-0.224,0.955,-0.847,1.472,-18.723
7.228853,0.02,-0.206,0.948,-0.534,1.335,-19.264
7.229828,0.018,-0.195,0.949,-0.626,1.572,-19.951
7.230798,0.029,-0.189,0.948,-0.244,1.602,-21.225
7.231769,0.029,-0.198,0.955,-0.153,1.625,-22.018
7.269835,0.028,-0.211,0.961,-0.031,1.488,-23.087
7.270815,0.02,-0.198,0.949,0.603,1.694,-24.094
7.271769,0.071,-0.205,0.971,1.434,2.159,-25.749
7.272715,0.022,-0.182,0.969,1.785,1.167,-27.954
7.273678,0.037,-0.165,0.95,2.22,1.9,-29.327
7.274633,0.031,-0.123,0.964,2.205,1.755,-30.243
7.275590,0.05,-0.128,0.954,2.464,1.633,-31.693
7.313671,0.049,-0.171,0.948,2.609,2.197,-34.081
7.314655,0.038,-0.184,0.946,2.655,1.915,-35.759
7.315607,0.031,-0.188,0.954,3.014,1.816,-37.544
7.316559,0.013,-0.171,0.969,3.12,2.296,-38.445
7.317536,0.027,-0.165,0.967,3.525,2.304,-40.253
7.318501,0.01,-0.155,0.966,3.609,2.289,-41.351
7.319457,0.007,-0.153,0.97,4.272,2.266,-42.831
7.359643,0.02,-0.135,0.968,4.539,2.296,-44.495
7.363113,0.028,-0.119,0.947,4.41,2.426,-46.021
7.366567,0.029,-0.131,0.948,4.677,2.449,-47.417
7.370055,0.029,-0.149,0.944,4.669,2.419,-48.897
7.373471,0.01,-0.15,0.958,4.898,2.754,-50.041
7.376882,0.006,-0.16,0.96,5.493,2.808,-51.788
7.380355,0.005,-0.152,0.962,5.15,2.998,-52.567
7.402661,0.002,-0.149,0.957,5.379,2.747,-53.581
7.406076,0.0,-0.144,0.96,5.302,2.777,-54.184
7.409531,-0.002,-0.151,0.961,5.692,2.8,-55.031
7.412956,-0.007,-0.15,0.954,5.608,2.556,-55.29
7.416413,0.002,-0.145,0.952,6.096,2.419,-56.145
7.419920,-0.007,-0.154,0.95,6.18,2.708,-56.931
7.423857,-0.003,-0.134,0.953,5.829,2.411,-57.381
7.446096,-0.012,-0.129,0.944,6.195,2.495,-57.152
7.449589,-0.004,-0.132,0.952,6.088,2.518,-56.633
7.453009,-0.005,-0.132,0.952,5.714,2.296,-56.29
7.456473,-0.007,-0.111,0.954,5.775,2.19,-56.19
7.459981,-0.0,-0.104,0.958,5.646,2.357,-55.061
7.463919,0.008,-0.106,0.956,5.035,2.441,-54.016
7.467475,-0.001,-0.098,0.953,4.517,2.113,-53.024
7.489949,0.018,-0.112,0.955,4.883,2.274,-51.826
7.493381,0.011,-0.115,0.948,4.189,2.151,-50.636
7.496772,0.01,-0.112,0.944,3.967,2.083,-49.37
7.500244,0.018,-0.104,0.946,3.738,2.35,-48.027
7.504124,0.012,-0.102,0.956,3.143,1.846,-46.555
7.507558,0.032,-0.107,0.958,2.769,1.778,-44.998
7.510998,0.036,-0.096,0.956,2.586,2.106,-43.663
7.533562,0.041,-0.093,0.954,1.93,1.991,-42.229
7.536958,0.036,-0.094,0.956,1.77,2.19,-40.825
7.540397,0.034,-0.094,0.959,1.472,1.846,-39.116
7.544306,0.035,-0.09,0.947,1.251,1.953,-37.781
7.547743,0.037,-0.089,0.954,0.977,2.029,-35.751
7.551228,0.039,-0.085,0.946,0.214,1.61,-34.256
7.554672,0.033,-0.084,0.953,0.229,1.816,-32.272
7.576633,0.037,-0.092,0.946,-0.725,1.869,-30.174
7.580122,0.036,-0.088,0.953,-1.175,1.984,-27.901
7.584115,0.032,-0.095,0.954,-1.282,1.488,-26.085
7.587582,0.029,-0.1,0.954,-1.61,1.709,-23.964
7.591075,0.03,-0.106,0.953,-2.251,1.511,-22.285
7.594563,0.023,-0.11,0.952,-2.533,1.541,-20.111
7.598044,0.029,-0.104,0.953,-2.914,1.228,-18.234
7.620226,0.036,-0.093,0.948,-3.12,1.305,-16.869
7.624212,0.034,-0.096,0.949,-3.311,1.541,-15.282
7.627671,0.034,-0.096,0.954,-4.013,1.35,-13.298
7.631141,0.03,-0.095,0.952,-4.097,1.266,-11.841
7.634679,0.025,-0.097,0.965,-4.257,1.534,-10.269
7.638099,0.028,-0.098,0.961,-4.402,1.602,-8.881
7.641529,0.025,-0.092,0.962,-5.142,1.472,-7.538
7.663870,0.022,-0.09,0.961,-5.386,1.419,-6.058
7.667347,0.023,-0.091,0.957,-5.356,1.205,-4.784
7.670780,0.023,-0.087,0.952,-5.63,1.472,-3.754
7.674213,0.022,-0.093,0.953,-6.096,1.251,-2.35
7.677642,0.019,-0.094,0.956,-6.149,1.427,-1.717
7.681016,0.018,-0.091,0.953,-6.638,1.198,-0.671
7.682258,0.014,-0.093,0.961,-6.508,1.137,0.061
7.706741,0.018,-0.093,0.96,-6.683,1.244,0.542
7.707705,0.022,-0.089,0.962,-7.011,1.19,1.465
7.708636,0.021,-0.083,0.964,-7.225,1.16,1.259
7.709596,0.024,-0.082,0.957,-7.317,1.137,2.045
7.710531,0.027,-0.086,0.962,-7.263,1.221,2.266
7.711463,0.03,-0.083,0.963,-7.378,1.106,2.296
7.712406,0.03,-0.081,0.966,-7.507,1.099,2.075
7.750819,0.033,-0.076,0.961,-7.431,1.244,2.052
7.751789,0.03,-0.073,0.961,-7.347,1.343,1.854
7.752723,0.029,-0.072,0.963,-7.301,1.434,1.534
7.753682,0.033,-0.071,0.964,-7.53,1.274,1.472
7.754615,0.034,-0.078,0.956,-7.904,1.236,0.938
7.755548,0.031,-0.081,0.961,-7.835,1.129,0.916
7.756490,0.026,-0.086,0.954,-7.645,0.992,0.679
7.795167,0.026,-0.081,0.958,-7.843,1.19,0.862
7.796136,0.023,-0.075,0.964,-7.896,1.053,1.06
7.797092,0.02,-0.081,0.958,-8.286,1.198,0.801
7.798023,0.024,-0.08,0.957,-8.041,1.259,0.877
7.798953,0.024,-0.081,0.966,-8.484,0.999,1.511
7.799882,0.029,-0.082,0.956,-8.553,1.053,1.488
7.800818,0.021,-0.078,0.956,-8.644,1.305,2.342
7.801775,0.016,-0.077,0.958,-8.842,1.137,2.632
7.840012,0.021,-0.076,0.958,-8.965,1.068,3.555
7.840981,0.017,-0.078,0.965,-9.415,1.022,4.311
7.841944,0.022,-0.077,0.96,-9.949,0.931,5.135
7.842878,0.018,-0.079,0.957,-9.75,0.763,5.814
7.843822,0.019,-0.081,0.963,-10.002,0.824,6.699
7.844775,0.021,-0.084,0.959,-10.406,0.862,7.553
7.845746,0.019,-0.084,0.955,-10.574,1.076,8.598
7.883520,0.019,-0.092,0.955,-10.59,0.87,9.56
7.884513,0.022,-0.096,0.958,-11.162,0.832,10.376
7.885501,0.023,-0.087,0.957,-11.238,1.091,12.207
7.886461,0.026,-0.084,0.953,-11.65,0.755,13.374
7.887416,0.024,-0.087,0.962,-12.024,0.946,15.182
7.888377,0.023,-0.092,0.953,-12.711,0.816,16.808
7.889353,0.021,-0.092,0.955,-12.627,0.824,18.303
7.927270,0.027,-0.09,0.949,-13.084,0.793,19.73
7.928267,0.023,-0.094,0.96,-13.55,0.786,21.797
7.929249,0.028,-0.091,0.954,-13.664,0.679,23.56
7.930207,0.034,-0.084,0.947,-13.87,0.702,25.475
7.931162,0.022,-0.079,0.951,-14.915,0.671,27.481
7.932127,0.026,-0.085,0.955,-15.327,0.793,29.549
7.933112,0.015,-0.087,0.948,-15.701,0.755,32.066
7.970546,0.014,-0.086,0.952,-16.22,0.443,34.348
7.971546,0.009,-0.089,0.949,-16.876,0.572,36.949
7.972522,-0.005,-0.091,0.956,-17.059,0.305,39.101
7.973516,0.001,-0.078,0.957,-17.7,0.648,41.908
7.974487,-0.01,-0.062,0.94,-18.593,0.061,44.861
7.975643,-0.001,-0.057,0.939,-19.196,0.282,47.569
7.976620,0.001,-0.061,0.939,-20.256,0.427,50.751
8.013750,0.003,-0.072,0.933,-21.355,0.603,52.963
8.014742,0.002,-0.073,0.943,-21.835,0.427,55.763
8.015715,-0.005,-0.081,0.949,-22.4,0.351,58.38
8.016683,-0.007,-0.089,0.952,-22.957,0.336,60.677
8.017669,-0.013,-0.099,0.961,-23.56,0.145,62.698
8.018650,-0.021,-0.101,0.965,-23.842,0.0,65.056
8.019645,-0.008,-0.093,0.952,-24.086,-0.244,67.032
8.056337,-0.001,-0.096,0.944,-25.078,0.038,68.573
8.057406,-0.009,-0.106,0.936,-25.589,-0.412,70.107
8.058397,-0.001,-0.115,0.927,-26.123,-0.275,71.388
8.059382,-0.017,-0.105,0.925,-26.55,-0.336,72.99
8.060361,-0.028,-0.098,0.927,-27.428,-0.465,74.165
8.061373,-0.03,-0.104,0.952,-27.504,-0.389,75.737
8.098276,-0.041,-0.091,0.952,-28.206,-0.458,77.263
8.099286,-0.049,-0.102,0.944,-28.526,-0.443,78.819
8.100275,-0.054,-0.105,0.955,-29.282,-0.717,80.276
8.101290,-0.069,-0.117,0.941,-29.35,-0.664,81.429
8.102277,-0.057,-0.153,0.942,-29.778,-0.832,82.794
8.103264,-0.059,-0.173,0.935,-29.747,-0.862,83.092
8.104249,-0.035,-0.187,0.948,-29.457,-1.022,82.733
8.141484,-0.01,-0.195,0.948,-28.755,-0.496,81.848
8.142491,0.002,-0.194,0.958,-28.793,-0.755,80.231
8.143470,0.024,-0.191,0.962,-28.191,-0.801,77.606
8.144441,0.062,-0.229,0.967,-27.26,-0.504,73.25
8.145440,0.106,-0.271,0.965,-25.612,-0.32,66.872
8.146411,0.158,-0.298,0.964,-23.895,-0.259,58.327
8.147382,0.206,-0.337,0.955,-22.026,0.092,49.294
8.185361,0.256,-0.396,0.97,-19.844,0.877,38.582
8.186352,0.302,-0.442,0.995,-16.937,1.198,26.619
8.187315,0.301,-0.496,1.02,-13.435,1.686,12.993
8.188263,0.287,-0.533,1.06,-9.491,2.151,-0.351
8.189235,0.254,-0.558,1.075,-5.135,2.182,-13.702
8.190185,0.246,-0.569,1.063,-1.106,2.144,-26.405
8.191143,0.249,-0.542,1.042,2.823,2.06,-39.207
8.229218,0.236,-0.496,1.003,6.271,2.548,-49.622
8.230205,0.187,-0.412,0.966,8.965,2.96,-57.106
8.231170,0.154,-0.3,0.962,10.773,3.296,-62.431
8.232129,0.116,-0.186,0.931,11.269,3.525,-66.49
8.233104,0.075,-0.184,0.935,11.391,3.151,-71.335
8.234063,0.112,-0.253,0.971,11.307,3.304,-76.843
8.235033,0.12,-0.321,0.989,13.39,3.685,-82.489
8.272441,0.058,-0.384,0.989,15.244,3.342,-87.578
